"campus","name","provincia","localidadDBpedia","lat","long"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Pedernales","Pedernales","http://dbpedia.org/resource/Manab%C3%AD_Province","http://dbpedia.org/resource/Pedernales_Canton","0.07010000199079514","-80.05359649658203"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Portoviejo","Portoviejo","http://dbpedia.org/resource/Manab%C3%AD_Province","http://dbpedia.org/resource/Portoviejo","-1.056110024452209","-80.45529937744141"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Puyo","Puyo","http://dbpedia.org/resource/Pastaza_Province","http://dbpedia.org/resource/Puyo,_Pastaza","-1.066669940948486","-78.0010986328125"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Quevedo","Quevedo","http://dbpedia.org/resource/Los_R%C3%ADos_Province","http://dbpedia.org/resource/Quevedo,_Ecuador","-1.033329963684082","-79.44999694824219"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Quito","Quito","http://dbpedia.org/resource/Pichincha_Province","http://dbpedia.org/resource/Quito","-0.2333330065011978","-78.51670074462891"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Riobamba","Riobamba","http://dbpedia.org/resource/Chimborazo_Province","http://dbpedia.org/resource/Riobamba","-1.674350023269653","-78.64830017089844"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Roma","Roma","http://dbpedia.org/resource/Province_of_Rome","http://dbpedia.org/resource/Rome","41.90000152587891","12.5"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Salinas-La_Libertad","Salinas-La Libertad","http://dbpedia.org/resource/Santa_Elena_Province","http://dbpedia.org/resource/Salinas_Canton","-2.216670036315918","-80.94999694824219"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_San_Lorenzo","San Lorenzo","http://dbpedia.org/resource/Esmeraldas_Province","http://dbpedia.org/resource/San_Lorenzo_Canton","1.265799999237061","-78.84140014648438"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Santa_Isabel","Santa Isabel","http://dbpedia.org/resource/Azuay_Province","http://dbpedia.org/resource/Santa_Isabel_Canton","-3.274169921875","-79.31559753417969"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Santa_Rosa","Santa Rosa ","http://dbpedia.org/resource/El_Oro_Province","http://dbpedia.org/resource/Santa_Rosa_Canton","-3.45221996307373","-79.96170043945312"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Saraguro","Saraguro ","http://dbpedia.org/resource/Loja_Province","http://dbpedia.org/resource/Saraguro_Canton","-3.62529993057251","-79.24109649658203"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Sevilla_de_Oro","Sevilla de Oro","http://dbpedia.org/resource/Azuay_Province","http://dbpedia.org/resource/Sevilla_de_Oro_Canton","-2.316669940948486","-78.09999847412109"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Shushufindi","Shushufindi","http://dbpedia.org/resource/Sucumb%C3%ADos_Province","http://dbpedia.org/resource/Shushufindi_Canton","-0.1870999932289124","-76.64499664306641"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Tena","Tena ","http://dbpedia.org/resource/Napo_Province","http://dbpedia.org/resource/Tena,_Ecuador","-0.9890000224113464","-77.81590270996094"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Vinces","Vinces","http://dbpedia.org/resource/Los_R%C3%ADos_Province","http://dbpedia.org/resource/Vinces","-1.549999952316284","-79.73329925537109"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Zamora","Zamora","http://dbpedia.org/resource/Zamora-Chinchipe_Province","http://dbpedia.org/resource/Zamora_Canton","-4.119999885559082","-78.80000305175781"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Zaruma","Zaruma","http://dbpedia.org/resource/El_Oro_Province","http://dbpedia.org/resource/Zaruma_Canton","-3.433330059051514","-79.59999847412109"
